min,CH1,CH2,CH40,CH41,CH42,
54.0531,6.57519,0.0518799,6.44162,27.2727,649204,
54.0531,6.58186,0.0579834,6.44806,27.2727,644382,
54.0532,6.58853,0.0610352,6.45446,27.2727,640145,
54.0532,6.5952,0.0579834,6.46083,27.2727,636368,
54.0532,6.60186,0.0579834,6.46716,27.2727,633028,
54.0533,6.60853,0.0610352,6.47346,27.2727,630100,
54.0533,6.61329,0.0579834,6.47973,27.2727,627379,
54.0533,6.61806,0.0579834,6.48598,27.2727,624498,
54.0534,6.62187,0.0518799,6.49219,27.2727,621213,
54.0534,6.62473,0.0518799,6.49836,27.2727,617299,
54.0534,6.62663,0.0640869,6.50449,27.2727,612465,
54.0535,6.62854,0.0640869,6.51055,27.2727,606538,
54.0535,6.63044,0.0640869,6.51655,27.2727,599543,
54.0535,6.63235,0.0457764,6.52246,27.2727,591597,
54.0536,6.6352,0.0518799,6.52829,27.2727,582901,
54.0536,6.63901,0.0488281,6.53403,27.2727,573822,
54.0536,6.64378,0.0579834,6.53968,27.2727,564786,
54.0537,6.65044,0.0518799,6.54524,27.2727,556274,
54.0537,6.65711,0.0579834,6.55073,27.2727,548724,
54.0537,6.66378,0.0488281,6.55615,27.2727,542262,
54.0538,6.6695,0.0549316,6.56152,27.2727,536730,
54.0538,6.67331,0.0518799,6.56684,27.2727,531710,
54.0538,6.67616,0.0518799,6.5721,27.2727,526637,
54.0539,6.67616,0.0579834,6.57731,27.2727,520906,
54.0539,6.67616,0.0518799,6.58245,27.2727,513963,
54.0539,6.67426,0.0518799,6.58751,27.2727,505489,
54.054,6.67235,0.0549316,6.59246,27.2727,495285,
54.054,6.67045,0.0518799,6.59729,27.2727,483358,
54.054,6.6714,0.0518799,6.60199,27.2727,470168,
54.0541,6.67521,0.0549316,6.60656,27.2727,456684,
54.0541,6.68188,0.0518799,6.611,27.2727,444060,
54.0541,6.6914,0.0549316,6.61534,27.2727,433351,
54.0542,6.70284,0.0427246,6.61959,27.2727,425425,
54.0542,6.71427,0.0457764,6.6238,27.2727,420705,
54.0542,6.72665,0.0488281,6.62799,27.2727,419205,
54.0543,6.73808,0.0549316,6.6322,27.2727,420749,
54.0543,6.74761,0.0518799,6.63644,27.2727,424801,
54.0543,6.75713,0.0579834,6.64075,27.2727,430682,
54.0544,6.7638,0.0488281,6.64513,27.2727,437765,
54.0544,6.76856,0.0488281,6.64958,27.2727,445202,
54.0544,6.77142,0.0518799,6.6541,27.2727,452123,
54.0545,6.77237,0.0457764,6.65868,27.2727,457827,
54.0545,6.77237,0.0488281,6.6633,27.2727,461767,
54.0545,6.77237,0.0549316,6.66794,27.2727,463716,
54.0546,6.77237,0.0549316,6.67257,27.2727,463747,
54.0546,6.77332,0.0579834,6.67719,27.2727,462113,
54.0546,6.77332,0.0488281,6.68178,27.2727,459052,
54.0547,6.77428,0.0457764,6.68633,27.2727,454697,
54.0547,6.77523,0.0579834,6.69082,27.2727,449263,
54.0547,6.77618,0.0488281,6.69525,27.2727,442954,
54.0548,6.77713,0.0579834,6.69961,27.2727,435868,
54.0548,6.77809,0.0457764,6.70389,27.2727,428097,
54.0548,6.77809,0.0488281,6.70809,27.2727,419639,
54.0549,6.77713,0.0427246,6.71219,27.2727,410315,
54.0549,6.77523,0.0549316,6.71619,27.2727,399873,
54.0549,6.77332,0.0518799,6.72007,27.2727,388179,
54.055,6.77047,0.0518799,6.72383,27.2727,375202,
54.055,6.76856,0.0427246,6.72744,27.2727,361010,
54.055,6.76761,0.0518799,6.73089,27.2727,345942,
54.0551,6.76666,0.0518799,6.7342,27.2727,330398,
54.0551,6.76666,0.0518799,6.73735,27.2727,314657,
54.0551,6.76856,0.0518799,6.74034,27.2727,299156,
54.0552,6.77047,0.0579834,6.74318,27.2727,284382,
54.0552,6.77332,0.0518799,6.74589,27.2727,270600,
54.0552,6.77713,0.0518799,6.74847,27.2727,258047,
54.0553,6.78095,0.0457764,6.75094,27.2727,246936,
54.0553,6.78476,0.0427246,6.75331,27.2727,237277,
54.0553,6.78761,0.0610352,6.7556,27.2727,228893,
54.0554,6.79047,0.0549316,6.75781,27.2727,221526,
54.0554,6.79333,0.0549316,6.75996,27.2727,215029,
54.0554,6.79619,0.0427246,6.76206,27.2727,209351,
54.0555,6.79904,0.0488281,6.7641,27.2727,204445,
54.0555,6.8019,0.0427246,6.7661,27.2727,200263,
54.0555,6.80571,0.0518799,6.76807,27.2727,196850,
54.0556,6.81047,0.0488281,6.77002,27.2727,194424,
54.0556,6.81428,0.0518799,6.77195,27.2727,193088,
54.0556,6.82,0.0427246,6.77388,27.2727,192847,
54.0557,6.82476,0.0457764,6.77581,27.2727,193786,
54.0557,6.83048,0.0457764,6.77777,27.2727,195894,
54.0557,6.83524,0.0457764,6.77976,27.2727,199062,
54.0558,6.84,0.0457764,6.78179,27.2727,203097,
54.0558,6.84477,0.0457764,6.78387,27.2727,207822,
54.0558,6.84762,0.0488281,6.786,27.2727,212980,
54.0559,6.84953,0.0457764,6.78818,27.2727,218064,
54.0559,6.85048,0.0457764,6.79041,27.2727,222612,
54.0559,6.85143,0.0396729,6.79267,27.2727,226381,
54.056,6.85048,0.0518799,6.79497,27.2727,229155,
54.056,6.84858,0.0457764,6.79727,27.2727,230557,
54.056,6.84667,0.0549316,6.79957,27.2727,230338,
