27,0,6500,-4.1774,77,1.8833,0,0,0,0,2,1.1215
45,0,8300,-9.8305,92,1.6821,0,0,0,0,2,0.82059
14,0,5200,-3.0145,63,0.95726,0,0,0,0,3,0.75938
1,0,3900,-7.011,53,1.2465,0,0,0,0,2,0.76547
18,0,5600,-6.6634,80,3.1997,0,0,0,0,2,0.81771
5,0,4300,-5.3913,66,1.2578,0,0,0,0,1,1.3686
19,0,5700,-6.9811,77,1.8125,0,0,0,0,2,0.75021
6,0,4400,-6.6653,49,1.2588,0,0,0,0,2,0.6943
20,0,5800,-1.7813,70,0.99441,0,0,0,0,2,0.62254
7,0,4500,-1.2801,61,1.894,0,0,0,0,2,1.2867
22,0,6000,-9.9908,75,2.897,0,0,0,0,2,4.3672
42,0,8000,-1.7112,85,0.86674,0,0,0,0,2,0.85834
9,0,4700,-0.32601,54,5.6538,0,0,0,0,2,0.75179
23,0,6100,-5.612,73,2.6187,0,0,0,0,2,0.72741
10,0,4800,-8.8187,63,2.777,0,0,0,0,2,1.1473
24,0,6200,-6.6918,78,1.2426,0,0,0,0,2,0.77857
11,0,4900,-1.9043,63,1.0973,0,0,0,0,2,0.76924
25,0,6300,-3.6892,74,1.6684,0,0,0,0,2,0.79368
12,0,5000,-4.6073,68,4.3448,0,0,0,0,2,0.63077
26,0,6400,-9.8164,80,1.3493,0,0,0,0,2,0.77904
13,0,5100,-1.564,66,0.9894,0,0,0,0,2,0.75438
-2,0,3600,-8.5552,48,0.97549,0,0,0,0,2,0.74007
